Nickel Concentration g/l,Reducer (sodium hypophosphite) Concentration g/l,Complexing Agent Concentration g/l,pH,Temperature,Substrate,Deposition Rate µm/h
30 (nickel sulphate),25,15 (glycine),5,90,Brass,4.9
25 (nickel sulphate),25,40 (sodium citrate),4,70,Brass,15
25 (nickel sulphate),25,40 (sodium citrate),4,80,Brass,30
25 (nickel sulphate),25,40 (sodium citrate),4,90,Brass,60
25 (nickel sulphate),25,40 (sodium citrate),7,70,Brass,15
25 (nickel sulphate),25,40 (sodium citrate),7,80,Brass,30
25 (nickel sulphate),25,40 (sodium citrate),7,90,Brass,60
25 (nickel sulphate),25,46 (sodium citrate),9,70,Brass,15
25 (nickel sulphate),25,40 (sodium citrate),9,80,Brass,30
25 (nickel sulphate),25,40 (sodium citrate),9,90,Brass,60
28 (nickel sulphate),30,14 (sodium citrate),4.8,88,Mild carbon Steel,20
15 (nickel sulphate),13,13 (sodium acetate),6.2,90,AZ31 Magnesium Alloy,16
10 (nickel sulphate),20,"2.5 (citric acid), 1.2 (glycine)",5.4,80,AZ91D Magnesium Alloy,13.3
15 (nickel sulphate),20,"2.5 (citric acid), 1.2 (glycine)",5.4,80,AZ91D Magnesium Alloy,17.1
25 (nickel sulphate),20,"2.5 (citric acid), 1.2 (glycine)",5.4,80,AZ91D Magnesium Alloy,23.6
15 (nickel sulphate),20,"2.5 (citric acid), 1.2 (glycine)",5.4,80,AZ91D Magnesium Alloy,11.2
20 (nickel sulphate),15,"2.5 (citric acid), 1.2 (glycine)",5.4,80,AZ91D Magnesium Alloy,15.7
20 (nickel sulphate),25,"2.5 (citric acid), 1.2 (glycine)",5.4,80,AZ91D Magnesium Alloy,24.1
20 (nickel sulphate),20,"2.5 (citric acid), 1.2 (glycine)",5.8,80,AZ91D Magnesium Alloy,23.5
20 (nickel sulphate),20,"2.5 (citric acid), 1.2 (glycine)",6.4,80,AZ91D Magnesium Alloy,27.2
20 (nickel sulphate),20,"2.5 (citric acid), 1.2 (glycine)",6.8,80,AZ91D Magnesium Alloy,28.9
20 (nickel sulphate),20,"2.5 (citric acid), 1.2 (glycine)",5.4,70,AZ91D Magnesium Alloy,12.5
20 (nickel sulphate),20,"2.5 (citric acid), 1.2 (glycine)",5.4,75,AZ91D Magnesium Alloy,16.2
20 (nickel sulphate),20,"2.5 (citric acid), 1.2 (glycine)",5.4,80,AZ91D Magnesium Alloy,20.8
20 (nickel sulphate),20,"2.5 (citric acid), 1.2 (glycine)",5.4,85,AZ91D Magnesium Alloy,26.1
